29;SMU-396;G4HCAM951350;MALAB51GABM516077;AMARILLO;2011;4;HATCH BACK;TAXI;GASO;1000;10001650617;MEDELLIN;HYUNDAI;29;admin;NULL;NULL;NULL
30;SMU-580;B10S1547501KC2;9GAMM6107BB011425;AMARILLO;2011;4;HATCH BACK;TAXI;GASO;995;10000672967;MEDELLIN;CHEVROLET;30;admin;NULL;NULL;NULL
31;SMU-528;G4HCAM958127;MALAB51GABM516072;AMARILLO;2011;4;HATCH BACK;TAXI;GASO;1000;10000651945;MEDELLIN;HYUNDAI;31;admin;NULL;NULL;NULL
32;SMU-744;G4HCAM053345;MALAB51GABM553554;AMARILLO;2011;4;HATCH BACK;TAXI;GASO;1000;10002583261;MEDELLIN;HYUNDAI;32;admin;NULL;NULL;NULL
33;SMV-124;B10S1592636KC2;9GAMM6102BB027841;AMARILLO;2011;4;SEDAN;TAXI;GASO;995;10001300699;MEDELLIN;CHEVROLET;33;admin;NULL;NULL;NULL
34;SMV-044;G9UA754C251439;93YCDDUH6BJ505820;AZUL;2011;15;CERRADO;BUS;DIESEL;2463;10000885042;MEDELLIN;RENAULT;34;admin;NULL;NULL;NULL
35;SMV-357;J05CTF22589;JHDFC4JKUBXX12434;VERDE;2011;36;CERRADA;BUS;ACPM;5307;10001046557;MEDELLIN;HINO;35;admin;NULL;NULL;NULL
36;SMU-442;G4HGAP020929;KNABJ513ABT002437;AMARILLO;2011;4;HATCH BACK;TAXI;GASO;1086;10002025309;MEDELLIN;KIA;36;admin;NULL;NULL;NULL
37;SMX-033;G4HCAM080816;MALAB51GABM569140;AMARILLO;2011;4;HATCH BACK;TAXI;GASO;1000;10001391313;MEDELLIN;HYUNDAI;37;admin;NULL;NULL;NULL
38;SMX-059;G4HCAM142993;MALAB51GABM601912;AMARILLO;2011;4;HATCH BACK;TAXI;GASO;1000;10001653327;MEDELLIN;HYUNDAI;38;admin;NULL;NULL;NULL
39;STU-544;G4HCAM144247;MALAB51GABM602461;AMARILLO;2011;4;HATCH BACK;TAXI;GASO;1000;10002069687;MEDELLIN;HYUNDAI;39;admin;NULL;NULL;NULL
40;STU-549;G4HCBM189439;MALAB51GACM629216;AMARILLO;2012;4;HATCH BACK;TAXI;GASO;1000;10002071871;MEDELLIN;HYUNDAI;40;admin;NULL;NULL;NULL
41;STU-970;G4HCBM263359;MALAB51GACM665495;AMARILLO;2012;4;HATCH BACK;TAXI;GASO;1000;10002341103;MEDELLIN;HYUNDAI;41;admin;NULL;NULL;NULL
42;STV-468;B10S1803068KC2;9GAMM6109CB049434;AMARILLO;2012;5;SEDAN;TAXI;GASO;995;10002691135;MEDELLIN;CHEVROLET;42;admin;NULL;NULL;NULL
43;STW-035;G4HGBM374844;MALAB51HACM721174;AMARILLO;2012;5;HATCH BACK;TAXI;GASO;1086;10003086643;MEDELLIN;HYUNDAI;43;admin;NULL;NULL;NULL
44;STW-107;G4HGBM375780;MALAB51HACM721350;AMARILLO;2012;5;HATCH BACK;TAXI;GASO;1086;10003153659;MEDELLIN;HYUNDAI;44;admin;NULL;NULL;NULL
45;STW-105;G4HGBM377365;MALAB51HACM721831;AMARILLO;2012;5;HATCH BACK;TAXI;GASO;1086;10003152698;MEDELLIN;HYUNDAI;45;admin;NULL;NULL;NULL
46;STW-108;G4HGBM376318;MALAB51HACM721670;AMARILLO;2012;5;HATCH BACK;TAXI;GASO;1086;10003153845;MEDELLIN;HYUNDAI;46;admin;NULL;NULL;NULL
47;STW-106;G4HGBM376899;MALAB51HACM721706;AMARILLO;2012;5;HATCH BACK;TAXI;GASO;1086;10003153349;MEDELLIN;HYUNDAI;47;admin;NULL;NULL;NULL
