1;341;15;admin;NULL;NULL;NULL
2;313;15;admin;NULL;NULL;NULL
3;353;14;admin;NULL;NULL;NULL
4;351;14;admin;NULL;NULL;NULL
5;250;2;admin;NULL;NULL;NULL
6;395;14;admin;NULL;NULL;NULL
7;314;15;admin;NULL;NULL;NULL
8;392;14;admin;NULL;NULL;NULL
9;730;6;admin;NULL;NULL;NULL
10;381;14;admin;NULL;NULL;NULL
11;4062;1;admin;NULL;NULL;NULL
12;221;2;admin;NULL;NULL;NULL
13;760;7;admin;NULL;NULL;NULL
14;374;14;admin;NULL;NULL;NULL
15;385;14;admin;NULL;NULL;NULL
16;214;2;admin;NULL;NULL;NULL
17;315;15;admin;NULL;NULL;NULL
18;367;14;admin;NULL;NULL;NULL
19;326;15;admin;NULL;NULL;NULL
20;370;14;admin;NULL;NULL;NULL
21;359;14;admin;NULL;NULL;NULL
22;390;14;admin;NULL;NULL;NULL
23;393;14;admin;NULL;NULL;NULL
24;204;2;admin;NULL;NULL;NULL
25;354;14;admin;NULL;NULL;NULL
26;394;14;admin;NULL;NULL;NULL
27;360;14;admin;NULL;NULL;NULL
28;362;14;admin;NULL;NULL;NULL
29;396;14;admin;NULL;NULL;NULL
30;368;14;admin;NULL;NULL;NULL
31;361;14;admin;NULL;NULL;NULL
32;389;14;admin;NULL;NULL;NULL
33;397;14;admin;NULL;NULL;NULL
34;231;2;admin;NULL;NULL;NULL
35;759;7;admin;NULL;NULL;NULL
36;369;14;admin;NULL;NULL;NULL
37;399;14;admin;NULL;NULL;NULL
38;349;14;admin;NULL;NULL;NULL
39;363;14;admin;NULL;NULL;NULL
40;346;14;admin;NULL;NULL;NULL
41;345;14;admin;NULL;NULL;NULL
42;387;14;admin;NULL;NULL;NULL
43;357;14;admin;NULL;NULL;NULL
44;340;14;admin;NULL;NULL;NULL
45;337;14;admin;NULL;NULL;NULL
46;344;14;admin;NULL;NULL;NULL
47;339;14;admin;NULL;NULL;NULL
48;343;14;admin;NULL;NULL;NULL
49;209;2;admin;NULL;NULL;NULL
50;352;14;admin;NULL;NULL;NULL
51;383;14;admin;NULL;NULL;NULL
